"identifiant";"Prenom";"Nom";"Region";"Departement";"Numero de circonscription";"Profession";"Groupe politique (complet)";"Groupe politique (abrege)"
"794770";"Michele";"Martinez";"Occitanie";"Pyrenees-Orientales";"4";"Sans profession declaree";"Rassemblement National";"RN"
"795786";"Yael";"Menache";"Hauts-de-France";"Somme";"5";"Commerciale";"Rassemblement National";"RN"
"794486";"Violette";"Spillebout";"Hauts-de-France";"Nord";"9";"Cadre administratif et commercial d'entreprise";"Renaissance";"RE"
"720720";"Josy";"Poueyto";"Nouvelle-Aquitaine";"Pyrenees-Atlantiques";"1";"Retraitee de la fonction publique (hors enseignement)";"Democrate (MoDem et Independants)";"Dem"
"793476";"Francis";"Dubois";"Nouvelle-Aquitaine";"Correze";"1";"Technicien";"Les Republicains";"LR"
"795664";"Paul";"Midy";"Ile-de-France";"Essonne";"5";"Chef d'entreprise de 10 salaries ou plus";"Renaissance";"RE"
"794582";"Kevin";"Pfeffer";"Grand Est";"Moselle";"6";"Permanent politique";"Rassemblement National";"RN"
"795588";"Farida";"Amrani";"Ile-de-France";"Essonne";"1";"Cadre de la fonction publique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720074";"Caroline";"Janvier";"Centre-Val de Loire";"Loiret";"2";"Autre cadre (secteur prive)";"Renaissance";"RE"
"793716";"Laurent";"Croizier";"Bourgogne-Franche-Comte";"Doubs";"1";"Professeur des ecoles, instituteur et assimile";"Democrate (MoDem et Independants)";"Dem"
"793262";"Laurent";"Alexandre";"Occitanie";"Aveyron";"2";"Ouvrier qualifie de type industriel";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"721710";"Michele";"Peyron";"Ile-de-France";"Seine-et-Marne";"9";"Autre cadre (secteur prive)";"Renaissance";"RE"
"721314";"Raphael";"Schellenberger";"Grand Est";"Haut-Rhin";"4";"Attache Parlementaire";"Les Republicains";"LR"
"783457";"Victor";"Habert-Dassault";"Hauts-de-France";"Oise";"1";"Avocat";"Les Republicains";"LR"
"794146";"Julie";"Laernoes";"Pays de la Loire";"Loire-Atlantique";"4";"Ancien cadre";"ecologiste - NUPES";"Ecolo - NUPES"
"1874";"Marc";"Le Fur";"Bretagne";"Côtes-d'Armor";"3";"Sous-prefet";"Les Republicains";"LR"
"795730";"Bastien";"Marchive";"Nouvelle-Aquitaine";"Deux-Sevres";"1";"Juriste";"Renaissance";"RE"
"794434";"Christophe";"Bentz";"Grand Est";"Haute-Marne";"1";"Professeur, profession scientifique";"Rassemblement National";"RN"
"794658";"Philippe";"Fait";"Hauts-de-France";"Pas-de-Calais";"4";"Professeur des ecoles, instituteur et assimile";"Renaissance";"RE"
"720334";"Jimmy";"Pahun";"Bretagne";"Morbihan";"2";"Navigateur";"Democrate (MoDem et Independants)";"Dem"
"719600";"eric";"Poulliat";"Nouvelle-Aquitaine";"Gironde";"6";"Fonctionnaire de categorie B";"Renaissance";"RE"
"795068";"Clara";"Chassaniol";"Ile-de-France";"Paris";"7";"Collaboratrice parlementaire";"Renaissance";"RE"
"340343";"Herve";"Saulignac";"Auvergne-Rhône-Alpes";"Ardeche";"1";"Cadre (entreprises publiques)";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"421348";"Andre";"Villiers";"Bourgogne-Franche-Comte";"Yonne";"2";"Agriculteur-proprietaire exploitant";"Horizons et apparentes";"HOR"
"266797";"Philippe";"Gosselin";"Normandie";"Manche";"1";"Maître de conferences à Sciences Po";"Les Republicains";"LR"
"794914";"Alexandre";"Vincendet";"Auvergne-Rhône-Alpes";"Rhône";"7";"Elu local";"Les Republicains";"LR"
"718850";"Pierre";"Cordier";"Grand Est";"Ardennes";"2";"Fonctionnaire de categorie A";"Les Republicains";"LR"
"794198";"Roger";"Chudeau";"Centre-Val de Loire";"Loir-et-Cher";"2";"Inspecteur general de l'education nationale honoraire ";"Rassemblement National";"RN"
"793134";"Jerôme";"Buisson";"Auvergne-Rhône-Alpes";"Ain";"4";"Professeur d'italien";"Rassemblement National";"RN"
"346782";"Philippe";"Juvin";"Ile-de-France";"Hauts-de-Seine";"3";"Professeur de medecine";"Les Republicains";"LR"
"795350";"Frederic";"Valletoux";"Ile-de-France";"Seine-et-Marne";"2";"Profession de l'information";"Horizons et apparentes";"HOR"
"332228";"Thierry";"Benoit";"Bretagne";"Ille-et-Vilaine";"6";"Representant de commerce";"Horizons et apparentes";"HOR"
"720684";"Pierre-Henri";"Dumont";"Hauts-de-France";"Pas-de-Calais";"7";"Collaborateur parlementaire";"Les Republicains";"LR"
"605782";"Laurent";"Marcangeli";"Corse";"Corse-du-Sud";"1";"Avocat";"Horizons et apparentes";"HOR"
"794598";"Laurent";"Jacobelli";"Grand Est";"Moselle";"8";"Profession de l'information, des arts et des spectacles";"Rassemblement National";"RN"
"794038";"Yannick";"Neuder";"Auvergne-Rhône-Alpes";"Isere";"7";"Cardiologue";"Les Republicains";"LR"
"795604";"Estelle";"Folest";"Ile-de-France";"Val-d'Oise";"6";"Directrice de la communication";"Democrate (MoDem et Independants)";"Dem"
"794322";"Thomas";"Menage";"Centre-Val de Loire";"Loiret";"4";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"720846";"Bastien";"Lachaud";"Ile-de-France";"Seine-Saint-Denis";"6";"Professeur du secondaire et technique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"793278";"Sabrina";"Agresti-Roubache";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"1";"Profession liberale";"Renaissance";"RE"
"721474";"Stephane";"Viry";"Grand Est";"Vosges";"1";"Avocat";"Les Republicains";"LR"
"721270";"Stephane";"Peu";"Ile-de-France";"Seine-Saint-Denis";"2";"Employe";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"722162";"Nicolas";"Turquois";"Nouvelle-Aquitaine";"Vienne";"4";"Agriculteur-proprietaire exploitant";"Democrate (MoDem et Independants)";"Dem"
"794154";"Jean-Claude";"Raux";"Pays de la Loire";"Loire-Atlantique";"6";"Professeur, profession scientifique";"ecologiste - NUPES";"Ecolo - NUPES"
"805166";"Anne";"Bergantz";"Ile-de-France";"Yvelines";"2";"Responsable de service social hospitalier";"Democrate (MoDem et Independants)";"Dem"
"309643";"Veronique";"Besse";"Pays de la Loire";"Vendee";"4";"Journaliste";"Non inscrit";"NI"
"607619";"Paul";"Molac";"Bretagne";"Morbihan";"4";"Professeur du secondaire";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"721984";"Philippe";"Latombe";"Pays de la Loire";"Vendee";"1";"Cadre superieur (secteur prive)";"Democrate (MoDem et Independants)";"Dem"
"793980";"Charles";"Fournier";"Centre-Val de Loire";"Indre-et-Loire";"1";"consultant - formateur";"ecologiste - NUPES";"Ecolo - NUPES"
"793354";"Joelle";"Melin";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"9";"Medecin expert judiciaire";"Rassemblement National";"RN"
"721262";"Guillaume";"Vuilletet";"Ile-de-France";"Val-d'Oise";"2";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"793912";"Sylvain";"Carriere";"Occitanie";"Herault";"8";"Employe de commerce";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"796132";"Raquel";"Garrido";"Ile-de-France";"Seine-Saint-Denis";"5";"Avocate";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794214";"Quentin";"Bataillon";"Auvergne-Rhône-Alpes";"Loire";"1";"Cadre administratif et commercial d'entreprise";"Renaissance";"RE"
"795026";"Anne-Cecile";"Violland";"Auvergne-Rhône-Alpes";"Haute-Savoie";"5";"Profession liberale";"Horizons et apparentes";"HOR"
"793780";"Christine";"Arrighi";"Occitanie";"Haute-Garonne";"9";"Ancien cadre";"ecologiste - NUPES";"Ecolo - NUPES"
"793146";"Nicolas";"Dragon";"Hauts-de-France";"Aisne";"1";"Profession liberale";"Rassemblement National";"RN"
"795362";"Lisa";"Belluco";"Nouvelle-Aquitaine";"Vienne";"1";"Cadre de la fonction publique";"ecologiste - NUPES";"Ecolo - NUPES"
"794094";"Mickael";"Bouloux";"Bretagne";"Ille-et-Vilaine";"8";"Ingenieur et cadre technique d'entreprise";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"719874";"elodie";"Jacquier-Laforge";"Auvergne-Rhône-Alpes";"Isere";"9";"Cadre superieur (secteur prive)";"Democrate (MoDem et Independants)";"Dem"
"605745";"Nicolas";"Sansu";"Centre-Val de Loire";"Cher";"2";"Permanent politique";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"795156";"Fatiha";"Keloua Hachi";"Ile-de-France";"Seine-Saint-Denis";"8";"Professeur, profession scientifique";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"606639";"Patrick";"Vignal";"Occitanie";"Herault";"9";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"335054";"Marietta";"Karamanli";"Pays de la Loire";"Sarthe";"2";"Professeur dans l'enseignement superieur";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793852";"Pierre";"Meurin";"Occitanie";"Gard";"4";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"796070";"Perceval";"Gaillard";"Reunion";"Reunion";"7";"Profession intermediaire de la sante et du travail social";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795430";"Stephane";"Delautrette";"Nouvelle-Aquitaine";"Haute-Vienne";"2";"Ingenieur dans le domaine de l'environnement";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"794982";"Julie";"Delpech";"Pays de la Loire";"Sarthe";"1";"Chargee de communication";"Renaissance";"RE"
"793094";"Nicolas";"Ray";"Auvergne-Rhône-Alpes";"Allier";"3";"Inspecteur principal des Finances publiques";"Les Republicains";"LR"
"721062";"Jean-Hugues";"Ratenon";"Reunion";"Reunion";"5";"Employe (secteur prive)";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"719388";"Annaïg";"Le Meur";"Bretagne";"Finistere";"1";"Autre profession liberale";"Renaissance";"RE"
"795868";"Jean-Victor";"Castor";"Guyane";"Guyane";"1";"Cadre technique d'entreprise";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"588884";"Clementine";"Autain";"Ile-de-France";"Seine-Saint-Denis";"11";"Journaliste et autre media";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"793992";"Henri";"Alfandari";"Centre-Val de Loire";"Indre-et-Loire";"3";"Ancien artisan, commerçant, chef d'entreprise";"Horizons et apparentes";"HOR"
"794786";"Emmanuel";"Fernandes";"Grand Est";"Bas-Rhin";"2";"Profession intermediaire administrative et commerciale des entreprises";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795100";"eric";"Martineau";"Pays de la Loire";"Sarthe";"3";"Agriculteur sur moyenne exploitation";"Democrate (MoDem et Independants)";"Dem"
"794494";"Roger";"Vicot";"Hauts-de-France";"Nord";"11";"Intervenant en communication";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"720952";"Aurelien";"Tache";"Ile-de-France";"Val-d'Oise";"10";"Fonctionnaire de categorie A";"ecologiste - NUPES";"Ecolo - NUPES"
"717379";"Sylvain";"Maillard";"Ile-de-France";"Paris";"1";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"719472";"Jean-Rene";"Cazeneuve";"Occitanie";"Gers";"1";"Ingenieur";"Renaissance";"RE"
"796010";"Frederic";"Maillot";"Reunion";"Reunion";"6";"Intervenant social";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"793724";"Michel";"Sala";"Occitanie";"Gard";"5";"Ancien cadre du secteur bancaire";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"774962";"Karine";"Lebon";"Reunion";"Reunion";"2";"Professeure des ecoles";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"719890";"Danielle";"Brulebois";"Bourgogne-Franche-Comte";"Jura";"1";"Retraitee de l'enseignement";"Renaissance";"RE"
"720728";"Jean-Paul";"Mattei";"Nouvelle-Aquitaine";"Pyrenees-Atlantiques";"2";"Notaire";"Democrate (MoDem et Independants)";"Dem"
"793592";"Geraldine";"Grangier";"Bourgogne-Franche-Comte";"Doubs";"4";"Profession intermediaire administrative de la fonction publique";"Rassemblement National";"RN"
"721094";"Philippe";"Dunoyer";"Nouvelle-Caledonie";"Nouvelle-Caledonie";"1";"Fonctionnaire de categorie A";"Renaissance";"RE"
"794570";"Alexandre";"Sabatou";"Hauts-de-France";"Oise";"3";"Chef de projets SI";"Rassemblement National";"RN"
"642695";"eric";"Bothorel";"Bretagne";"Côtes-d'Armor";"5";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"722134";"Jean-Marie";"Fievet";"Nouvelle-Aquitaine";"Deux-Sevres";"3";"Fonctionnaire de categorie B";"Renaissance";"RE"
"333285";"Guillaume";"Garot";"Pays de la Loire";"Mayenne";"1";"Cadre administratif";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"719632";"Sophie";"Panonacle";"Nouvelle-Aquitaine";"Gironde";"8";"Sans profession declaree";"Renaissance";"RE"
"794670";"Caroline";"Parmentier";"Hauts-de-France";"Pas-de-Calais";"9";"Attachee de Presse";"Rassemblement National";"RN"
"266793";"Jean-Yves";"Bony";"Auvergne-Rhône-Alpes";"Cantal";"2";"Exploitant agricole";"Les Republicains";"LR"
"267901";"Mansour";"Kamardine";"Mayotte";"Mayotte";"2";"Avocat";"Les Republicains";"LR"
"794994";"Alexandre";"Portier";"Auvergne-Rhône-Alpes";"Rhône";"9";"Professeur, profession scientifique";"Les Republicains";"LR"
"719488";"Philippe";"Berta";"Occitanie";"Gard";"6";"Professeur de faculte";"Democrate (MoDem et Independants)";"Dem"
"607395";"Stephane";"Travert";"Normandie";"Manche";"3";"Cadre secteur prive";"Renaissance";"RE"
"722374";"Cyrille";"Isaac-Sibille";"Auvergne-Rhône-Alpes";"Rhône";"12";"Medecin";"Democrate (MoDem et Independants)";"Dem"
"793656";"Lisette";"Pollet";"Auvergne-Rhône-Alpes";"Drôme";"2";"Ouvrier qualifie de type industriel";"Rassemblement National";"RN"
"795884";"Marc";"Ferracci";"Français etablis hors de France";"Français etablis hors de France";"6";"Professeur, profession scientifique";"Renaissance";"RE"
"794798";"Françoise";"Buffet";"Grand Est";"Bas-Rhin";"4";"Ancien artisan, commerçant, chef d'entreprise";"Renaissance";"RE"
"720992";"Jiovanny";"William";"Martinique";"Martinique";"1";"Profession liberale";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"794510";"Christine";"Decodts";"Hauts-de-France";"Nord";"13";"Ancien cadre";"Renaissance";"RE"
"720586";"Pierre";"Vatin";"Hauts-de-France";"Oise";"5";"Permanent politique";"Les Republicains";"LR"
"719138";"Michel";"Castellani";"Corse";"Haute-Corse";"1";"Professeur des Universites";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"722046";"Aurore";"Berge";"Ile-de-France";"Yvelines";"10";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"817211";"Rene";"Pilato";"Nouvelle-Aquitaine";"Charente";"1";"Enseignant";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720560";"Perrine";"Goulet";"Bourgogne-Franche-Comte";"Nievre";"1";"Autre cadre (secteur prive)";"Democrate (MoDem et Independants)";"Dem"
"795616";"Carlos Martens";"Bilongo";"Ile-de-France";"Val-d'Oise";"8";"Professeur, profession scientifique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720092";"Richard";"Ramos";"Centre-Val de Loire";"Loiret";"6";"Autre cadre (secteur prive)";"Democrate (MoDem et Independants)";"Dem"
"793290";"Gisele";"Lelouis";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"3";"Ancien employe ";"Rassemblement National";"RN"
"721486";"Christophe";"Naegelen";"Grand Est";"Vosges";"3";"Industriel-Chef d'entreprise";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"794854";"Inaki";"Echaniz";"Nouvelle-Aquitaine";"Pyrenees-Atlantiques";"4";"Cadre de la fonction publique";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"719294";"Mireille";"Clapot";"Auvergne-Rhône-Alpes";"Drôme";"1";"Cadre superieur (entreprises publiques)";"Renaissance";"RE"
"795820";"Marcellin";"Nadeau";"Martinique";"Martinique";"2";"Cadre de la fonction publique";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"794166";"Matthias";"Tavel";"Pays de la Loire";"Loire-Atlantique";"8";"Cadre de la fonction publique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"719080";"Sandra";"Marsaud";"Nouvelle-Aquitaine";"Charente";"2";"Cadre (entreprises publiques)";"Renaissance";"RE"
"721896";"Elsa";"Faucillon";"Ile-de-France";"Hauts-de-Seine";"1";"Employee du secteur prive";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"267042";"Yannick";"Favennec-Becot";"Pays de la Loire";"Mayenne";"3";"Directeur de cabinet";"Horizons et apparentes";"HOR"
"795298";"Jerôme";"Legavre";"Ile-de-France";"Seine-Saint-Denis";"12";"Professeur de lettres";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720614";"Marine";"Le Pen";"Hauts-de-France";"Pas-de-Calais";"11";"Avocate";"Rassemblement National";"RN"
"793432";"Franck";"Allisio";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"12";"Profession liberale";"Rassemblement National";"RN"
"720354";"Jean-Michel";"Jacques";"Bretagne";"Morbihan";"6";"Infirmier des forces speciales";"Renaissance";"RE"
"718930";"Anne-Laurence";"Petel";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"14";"Chargee des relations exterieures - secteur telecom";"Renaissance";"RE"
"720908";"Naïma";"Moutchou";"Ile-de-France";"Val-d'Oise";"4";"Avocat";"Horizons et apparentes";"HOR"
"794278";"Xavier";"Albertini";"Grand Est";"Marne";"1";"Profession liberale";"Horizons et apparentes";"HOR"
"719318";"Emmanuelle";"Anthoine";"Auvergne-Rhône-Alpes";"Drôme";"4";"Avocate";"Les Republicains";"LR"
"793218";"Jordan";"Guitton";"Grand Est";"Aube";"1";"Assistant Parlementaire";"Rassemblement National";"RN"
"794810";"Louise";"Morel";"Grand Est";"Bas-Rhin";"6";"Cadre administratif et commercial d'entreprise";"Democrate (MoDem et Independants)";"Dem"
"266788";"Pierre";"Morel-À-L'Huissier";"Occitanie";"Lozere";"1";"Avocat";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"605069";"Jean-Louis";"Bricout";"Hauts-de-France";"Aisne";"3";"Cadre (secteur prive)";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"794522";"Pierrick";"Berteloot";"Hauts-de-France";"Nord";"15";"Assistant Maitre d'equipage - Assistant Toutes Categories";"Rassemblement National";"RN"
"795374";"Pascal";"Lecamp";"Nouvelle-Aquitaine";"Vienne";"3";"Cadre administratif et commercial d'entreprise";"Democrate (MoDem et Independants)";"Dem"
"794106";"Andree";"Taurinya";"Auvergne-Rhône-Alpes";"Loire";"2";"Professeur, profession scientifique ";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"817203";"Laure";"Miller";"Grand Est";"Marne";"2";"Avocate";"Renaissance";"RE"
"720630";"Maxime";"Minot";"Hauts-de-France";"Oise";"7";"Employe (secteur prive)";"Les Republicains";"LR"
"719154";"Didier";"Martin";"Bourgogne-Franche-Comte";"Côte-d'Or";"1";"Neuroradiologue";"Renaissance";"RE"
"1567";"Jerôme";"Guedj";"Ile-de-France";"Essonne";"6";"Inspecteur general des Affaires sociales";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"720422";"Adrien";"Quatennens";"Hauts-de-France";"Nord";"1";"Employe (secteur prive)";"Non inscrit";"NI"
"721916";"Natalia";"Pouzyreff";"Ile-de-France";"Yvelines";"6";"Ingenieure";"Renaissance";"RE"
"720014";"Huguette";"Tiegna";"Occitanie";"Lot";"2";"Docteur, Ingenieur Recherche et Developement";"Renaissance";"RE"
"793928";"Edwige";"Diaz";"Nouvelle-Aquitaine";"Gironde";"11";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"793306";"Philippe";"Pradal";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"3";"Expert comptable";"Horizons et apparentes";"HOR"
"736201";"Sophie";"Taille-Polian";"Ile-de-France";"Val-de-Marne";"11";"Cadre de la fonction publique";"ecologiste - NUPES";"Ecolo - NUPES"
"1630";"Michel";"Herbillon";"Ile-de-France";"Val-de-Marne";"8";"Cadre superieur";"Les Republicains";"LR"
"794178";"Jean-Pierre";"Taite";"Auvergne-Rhône-Alpes";"Loire";"6";"Ancien artisan, commerçant, chef d'entreprise";"Les Republicains";"LR"
"793110";"Leo";"Walter";"Provence-Alpes-Côte d'Azur";"Alpes-de-Haute-Provence";"2";"Directeur d'ecole";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795762";"Elie";"Califer";"Guadeloupe";"Guadeloupe";"4";"Ancien cadre";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"795310";"Clemence";"Guette";"Ile-de-France";"Val-de-Marne";"2";"Responsable du programme LFI";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794686";"Marianne";"Maximi";"Auvergne-Rhône-Alpes";"Puy-de-Dôme";"1";"Profession intermediaire de la sante et du travail social";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795244";"Stephane";"Lenormand";"Saint-Pierre-et-Miquelon";"Saint-Pierre-et-Miquelon";"1";"Ancien cadre";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"719822";"Sabine";"Thillaye";"Centre-Val de Loire";"Indre-et-Loire";"5";"Ancien Chef d'entreprise";"Democrate (MoDem et Independants)";"Dem"
"793382";"Emmanuel";"Tache de la Pagerie";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"16";"Cadre de la fonction publique";"Rassemblement National";"RN"
"721844";"Beatrice";"Piron";"Ile-de-France";"Yvelines";"3";"Chef d'entreprise";"Renaissance";"RE"
"720222";"eric";"Girardin";"Grand Est";"Marne";"3";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"267318";"Jean-Carles";"Grelier";"Pays de la Loire";"Sarthe";"5";"Avocat";"Renaissance";"RE"
"793230";"Angelique";"Ranc";"Grand Est";"Aube";"3";"Sans activite professionnelle";"Rassemblement National";"RN"
"344201";"Bertrand";"Petit";"Hauts-de-France";"Pas-de-Calais";"8";"Personne diverse sans activite professionnelle de moins de 60 ans (sauf retraite";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"643175";"Stella";"Dupont";"Pays de la Loire";"Maine-et-Loire";"2";"Comptable";"Renaissance";"RE"
"719404";"Didier";"Le Gac";"Bretagne";"Finistere";"3";"Profession rattachee à l'enseignement";"Renaissance";"RE"
"793166";"Jocelyn";"Dessigny";"Hauts-de-France";"Aisne";"5";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"791824";"Sarah";"Legrain";"Ile-de-France";"Paris";"16";"Professeure de français";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795386";"Mathieu";"Lefevre";"Ile-de-France";"Val-de-Marne";"5";"Cadre de la fonction publique";"Renaissance";"RE"
"267429";"Dino";"Cinieri";"Auvergne-Rhône-Alpes";"Loire";"4";"Consultant securite";"Les Republicains";"LR"
"794058";"Justine";"Gruet";"Bourgogne-Franche-Comte";"Jura";"3";"Masseur Kinesitherapeute";"Les Republicains";"LR"
"795184";"Tematai";"Le Gayic";"Polynesie française";"Polynesie Française";"1";"etudiant";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"793940";"Thomas";"Cazenave";"Nouvelle-Aquitaine";"Gironde";"1";"Cadre de la fonction publique";"Renaissance";"RE"
"793322";"Christelle";"D'Intorni";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"5";"Avocate";"Les Republicains";"LR"
"722038";"Damien";"Adam";"Normandie";"Seine-Maritime";"1";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"607090";"Jean-Pierre";"Vigier";"Auvergne-Rhône-Alpes";"Haute-Loire";"2";"Fonctionnaire de categorie A";"Les Republicains";"LR"
"722284";"Bruno";"Fuchs";"Grand Est";"Haut-Rhin";"6";"Chef d'entreprise";"Democrate (MoDem et Independants)";"Dem"
"793744";"Anne";"Stambach-Terrenoir";"Occitanie";"Haute-Garonne";"2";"Sans profession declaree";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"267336";"Joel";"Giraud";"Provence-Alpes-Côte d'Azur";"Hautes-Alpes";"2";"Administrateur civil hors-classe";"Renaissance";"RE"
"795258";"Frantz";"Gumbs";"Saint-Barthelemy et Saint-Martin";"Saint-Barthelemy et Saint-Martin";"1";"Personnel de direction de l'education nationale";"Democrate (MoDem et Independants)";"Dem"
"794008";"Cyrielle";"Chatelain";"Auvergne-Rhône-Alpes";"Isere";"2";"Cadre de la fonction publique";"ecologiste - NUPES";"Ecolo - NUPES"
"266808";"Vincent";"Rolland";"Auvergne-Rhône-Alpes";"Savoie";"2";"Collaborateur parlementaire";"Les Republicains";"LR"
"795058";"Julien";"Bayou";"Ile-de-France";"Paris";"5";"Avocat";"ecologiste - NUPES";"Ecolo - NUPES"
"719338";"Graziella";"Melchior";"Bretagne";"Finistere";"5";"Professeure agregee";"Renaissance";"RE"
"793182";"Jorys";"Bovet";"Auvergne-Rhône-Alpes";"Allier";"2";"Chauffeur-livreur";"Rassemblement National";"RN"
"796026";"Julie";"Lechanteux";"Provence-Alpes-Côte d'Azur";"Var";"5";"";"Rassemblement National";"RN"
"721158";"Pieyre-Alexandre";"Anglade";"Français etablis hors de France";"Français etablis hors de France";"4";"Agent contractuel au Parlement europeen";"Renaissance";"RE"
"794946";"Antoine";"Villedieu";"Bourgogne-Franche-Comte";"Haute-Saône";"1";"Policier";"Rassemblement National";"RN"
"795958";"Benjamin";"Haddad";"Ile-de-France";"Paris";"14";"Professeur, profession scientifique";"Renaissance";"RE"
"719718";"Laurence";"Maillart-Mehaignerie";"Bretagne";"Ille-et-Vilaine";"2";"Chef entreprise";"Renaissance";"RE"
"720772";"Vincent";"Bru";"Nouvelle-Aquitaine";"Pyrenees-Atlantiques";"6";"Professeur de faculte";"Democrate (MoDem et Independants)";"Dem"
"793616";"Kevin";"Mauvieux";"Normandie";"Eure";"3";"Conseiller en assurance";"Rassemblement National";"RN"
"795836";"Frederic";"Cabrolier";"Occitanie";"Tarn";"1";"Conseiller protection sociale (Assurances)";"Rassemblement National";"RN"
"795200";"Alma";"Dufour";"Normandie";"Seine-Maritime";"4";"Responsable associative";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"719578";"Loïc";"Prud'homme";"Nouvelle-Aquitaine";"Gironde";"3";"Fonctionnaire de categorie B";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794450";"Emmanuel";"Lacresse";"Grand Est";"Meurthe-et-Moselle";"2";"Cadre de la fonction publique";"Renaissance";"RE"
"793876";"Laurence";"Cristol";"Occitanie";"Herault";"3";"Medecin specialiste en onco-geriatrie";"Renaissance";"RE"
"793444";"Manuel";"Bompard";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"4";"Ingenieur";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
